 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
2456,75045880575,,UPPER HOUSING SEAL 90MM SERVICE KIT,KIT DE SELLOS PARA GUIA DE ALOJAMIENTO 90MM,,KIT DE SELLOS PARA GUÍAS DE ALOJAMIENTO 90 MM PARA BOMBA DE HORMIGON,274893001-SK,,Putzmeister,BARRA V-ROCK,EMPAQUES,"$1,651.68",,4,In stock,,,$4.00,$93.00,$89.28,$4.90,$91.88,18.22,,,,,,,,
2162,75045880396,,FILTER ELEMENT ,FILTRO HIDRAULICO ,,,30318961,,Schwing,SIN ASIGNAR,FILTROS,"$6,553.44",B,8,In stock,,,$22.00,$369.00,$354.24,$26.95,$505.31,13.14,,,,,,,,
2200,75045880315,,O-RING 60X5,SELLO O-RING 60X5 ,,,10000765,,Schwing,SIN ASIGNAR,EMPAQUES,$88.80,A,10,In stock,,,$0.30,$5.00,$4.80,$0.37,$6.89,13.06,,,,,,,,
2315,75045880257,,FLANGE DN125 SK148MM,"BOQUILLA 5"" MET. DN125 SK148",,"BOQUILLA DE 5"" METRICA DN125 PARA BOMBA DE HORMIGON",10047281,5MM,Tuberia,TUBERIA ACERO,TUBOS,$444.00,A,36,In stock,,,$1.50,$25.00,$24.00,$1.84,$34.45,13.06,,,,,,,,
2310,75045892310,,"CLAMP 2 BOLT DN125 SK148 5"" MET. WITH BASE","ABRAZADERA 5"" MET. DN125 SK148 DOBLE TORNILLO CON BASE",,"ABRAZADERA DE 5"" METRICA DOBLE TORNILLO PARA BOMBA DE HORMIGON",27709009,,Tuberia,TUBERIA ACERO,TUBOS,"$3,711.84",,10,In stock,,,$13.50,$209.00,$200.64,$16.54,$310.08,12.13,,,,,,,,
2236,75045880444,,PISTON ROD END EYE,ROD EYE PUNTA PARA PISTON DE CAMBIO V-ROCK,,,10017560,,Schwing,BARRA V-ROCK,PISTONES,"$5,256.96",B,4,In stock,,,$21.00,$296.00,$284.16,$25.73,$482.34,11.05,,,,,,,,
1835,75045880329,,SOLENOID COIL 24V,BOBINA 24V PARA VALVULA SELENOIDE,,BOBINA 24V PARA VALVULA SELENOIDE PARA BOMBA DE HORMIGON,267377000,,Putzmeister,BARRA V-ROCK,VALVULAS,"$1,740.48",,6,In stock,,,$7.00,$98.00,$94.08,$8.58,$160.78,10.97,,,,,,,,
2327,75045880258,,U CLAMP PLASTIC PLATE WHITE,SOPORTE PLASTICO PARA ABRAZADERA EN U COLOR BLANCO,,,10038880,,Tuberia,TUBERIA ACERO,TUBOS,$124.32,,40,In stock,,,$0.50,$7.00,$6.72,$0.61,$11.48,10.97,,,,,,,,
1846,75045880426,,WEAR SLEEVE,CASQUILLO DESGASTE,,,228383004,,Putzmeister,BARRA V-ROCK,CASQUILLOS,"$3,090.24",A,4,In stock,,,$14.00,$174.00,$167.04,$17.15,$321.56,9.74,,,,,,,,
1887,75045880397,,HYDRAULIC FILTER,FILTRO HIDRAULICO,,,534896,,Putzmeister,SIN ASIGNAR,FILTROS,"$5,434.56",B,4,In stock,,,$26.00,$306.00,$293.76,$31.85,$597.19,9.22,,,,,,,,
2128,75045880279,,DISC 3 HOLE 85x10,DISCO CON 3 AGUJEROS 85x10,,DISCO CON 3 AGUJEROS PARA BOMBA DE HORMIGON,10061081,,Schwing,AGITADOR V-ROCK,Sin Asignar,$532.80,B,15,In stock,,,$2.70,$30.00,$28.80,$3.31,$62.02,8.71,,,,,,,,
2159,75045880394,,FILTER ELEMENT ,FILTRO HIDRAULICO ,,,10155110,,Schwing,SIN ASIGNAR,FILTROS,"$3,747.36",B,6,In stock,,,$21.00,$211.00,$202.56,$25.73,$482.34,7.87,,,,,,,,
1270,75045880285,,THRUST RING DN230,ANILLO DE EMPUJE DN230,,ANILLO DE EMPUJE DN230 PARA BOMBA DE HORMIGON,252898002,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$532.80,B,10,In stock,,,$3.00,$30.00,$28.80,$3.68,$68.91,7.84,,,,,,,,
1888,75045880576,,HYDRAULIC FILTER,FILTRO HIDRAULICO,,,223192009,,Putzmeister,,FILTROS,"$1,154.40",B,4,In stock,,,$6.50,$65.00,$62.40,$7.96,$149.30,7.84,,,,,,,,
2201,75045880264,,O-RING 70X8 NBR 70,SELLO O-RING 70X8 NBR 70 ,,,10017436,,Schwing,BARRA V-ROCK,SIN ASIGNAR,$53.28,A,30,In stock,,,$0.30,$3.00,$2.88,$0.37,$6.89,7.84,,,,,,,,
2202,75045880265,,O-RING 95X8 NBR 70,SELLO O RING 95X8 NBR 70,,,10016241,,Schwing,BARRA V-ROCK,SIN ASIGNAR,$53.28,A,30,In stock,,,$0.30,$3.00,$2.88,$0.37,$6.89,7.84,,,,,,,,
1847,75045880341,, BALL CUP NYLON,CASQUILLO PLASTICO PARA PALANCA OSCILANTE,,CASQUILLO DE PLÁSTICO PARA PALANCA OSCILANTE PARA BOMBA DE HORMIGON,256300004,,Putzmeister,BARRA V-ROCK,CASQUILLOS,$355.20,B,6,In stock,,,$2.00,$20.00,$19.20,$2.45,$45.94,7.84,,,,,,,,
2160,75045880431,,FILTER ELEMENT ,FILTRO HIDRAULICO ,,,10073397,,Schwing,SIN ASIGNAR,FILTROS,"$2,042.40",B,5,In stock,,,$12.00,$115.00,$110.40,$14.70,$275.63,7.51,,,,,,,,
2163,75045880430,,FILTER ELEMENT ,FILTRO HIDRAULICO ,,,10190588,,Schwing,SIN ASIGNAR,FILTROS,"$2,042.40",B,6,In stock,,,$12.00,$115.00,$110.40,$14.70,$275.63,7.51,,,,,,,,
1894,75045880518,,UPPER HOUSING 80MM WITHOUT TEETH,GUIA DE ALOJAMIENTO COMPLETA SIN DIENTES 80MM,,GUÍA DE ALOJAMIENTO COMPLETA 80MM PARA BOMBA DE HORMIGON,401783,458733,Putzmeister,BARRA V-ROCK,ANILLOS METALICOS,"$6,695.52",B,2,In stock,,,$40.00,$377.00,$361.92,$49.00,$918.75,7.39,,,,,,,,
1895,75045880519,,UPPER HOUSING 90MM WITHOUT TEETH,GUIA DE ALOJAMIENTO COMPLETA SIN DIENTES 90MM,,GUÍA DE ALOJAMIENTO COMPLETA 90MM PARA BOMBA DE HORMIGON,274893001,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$6,695.52",,2,In stock,,,$40.00,$377.00,$361.92,$49.00,$918.75,7.39,,,,,,,,
2298,75045880354,,PTO CYLINDER,VASO PARA ENQUINTAR,,VASE PARA ENQUINTAR PARA BOMBA DE HORMIGON,10170730,,Schwing,,Sin Asignar,"$2,823.84",B,6,In stock,,,$17.00,$159.00,$152.64,$20.83,$390.47,7.33,,,,,,,,
2181,75045880533,,SLEWING PIVOT,HORQUILLA PARA PISTON / SOPORTE CILINDRO BUZO,,,10118218,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$11,988.00",,2,In stock,,,$75.00,$675.00,$648.00,$91.88,"$1,722.66",7.05,,,,,,,,
1913,75045880383,,SEAL KIT FOR WATER PUMP 7560,"KIT DE REPARACIÓN BOMBA DE AGUA 7560: 8 RODILLOS, 2 RETENES, 2 BALEROS Y 1 O-RING ",,,018533006SK,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$1,687.20",A,5,In stock,,,$11.00,$95.00,$91.20,$13.48,$252.66,6.77,,,,,,,,
1926,75045880467,,HIGH TORQUE B750,MOTOR AGITADOR B750,,,541970,,Putzmeister,AGITADOR V-ROCK,MOTORES,"$15,309.12",,3,In stock,,,$100.00,$862.00,$827.52,$122.50,"$2,296.88",6.76,,,,,,,,
1882,75045880517,,ELECTRIC GREASE PUMP 24V,ENGRASADORA AUTOMATICA 24V,,,A026031-24,2401127,Putzmeister,OTROS,SIN ASIGNAR,"$17,937.60",,2,In stock,,,$120.00,"$1,010.00",$969.60,$147.00,"$2,756.25",6.60,,,,,,,,
1037,75045880361,,"DRIVER CONTROL CABLE 716D 4mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 4mx1/4""x4""",,CABLE DE ACELERACIÓN 4M 6MM/6MM PARA CAMION REVOLVEDOR,760.4000.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,$888.00,,5,In stock,,,$6.00,$50.00,$48.00,$7.35,$137.81,6.53,,,,,,,,
1938,75045880469,,MOUNTING BOLT,PERNO SUJETADOR PARA CODO BISAGRA,,PERNO SUJETADOR PARA CODO BISAGRA PARA BOMBA DE HORMIGON,262639002,,Putzmeister,BARRA V-ROCK,ACCESORIOS ,"$1,172.16",,3,In stock,,,$8.00,$66.00,$63.36,$9.80,$183.75,6.47,,,,,,,,
1915,75045880521,,OUTER HOUSING SEAL KIT,KIT DE SELLOS PARA GUÍA DE DESCARGA,,,508064SK,,Putzmeister,BARRA V-ROCK,EMPAQUES,"$1,243.20",A,2,In stock,,,$8.50,$70.00,$67.20,$10.41,$195.23,6.45,,,,,,,,
2295,75045880482,,"DBDH6P HYDRAULIC DIRECT CONTROLLED PRESSURE RELIEF VALVE/ VALVE - HYD, PRESSURE REDUCING FDR 5 DP.",VALVULA PARA AJUSTE DE PRESION FDR SDP ,,,10008302,,Schwing,BARRA V-ROCK,VALVULAS,"$14,580.96",,3,In stock,,,$100.00,$821.00,$788.16,$122.50,"$2,296.88",6.43,,,,,,,,
2222,75045880399,,BOLT V ROCK 34x68,PERNO CON TOPE PARA HORQUILLA 34x68,,,10058467,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$1,012.32",B,5,In stock,,,$7.00,$57.00,$54.72,$8.58,$160.78,6.38,,,,,,,,
1897,75045880463,,SWITCH PTO FORK,HORQUILLA PARA CAJA DE TRANSFERENCIA,,HORQUILLA PARA CAJA DE TRANSFERENCIA PARA BOMBA DE HORMIGON,284946003,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$3,996.00",B,3,In stock,,,$28.00,$225.00,$216.00,$34.30,$643.13,6.30,,,,,,,,
1829,75045880308,,THRUST RING DN200,ANILLO DE EMPUJE DN200,,,258569005,269519002,Putzmeister,Sellos y retenes,Sin Asignar,$426.24,,10,In stock,,,$3.00,$24.00,$23.04,$3.68,$68.91,6.27,,,,,,,,
1841,75045880513,,COMPLETE UPPER HOUSING ASSY 90MM ERGONIC,BUJE ALOJAMIENTO COMPLETA 90MM NUEVA GENERACION,,BUJE DE ALOJAMIENTO COMPLETA 90MM NUEVA GENERACIÓN PARA BOMBA DE HORMIGON,519127,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$8,453.76",B,2,In stock,,,$60.00,$476.00,$456.96,$73.50,"$1,378.13",6.22,,,,,,,,
2320,75045880564,,"REDUCER PIPE HD3"" TO HD2""x900MM WITH HANDLES","REDUCTOR HD3"" A HD2"" x900mm CON ASAS",,"REDUCTOR 3"" A 2"" A 900 MM PARA BOMBA DE HORMIGON",RS302036D,,Tuberia,TUBERIA ACERO,TUBOS,"$3,658.56",,1,In stock,,,$26.00,$206.00,$197.76,$31.85,$597.19,6.21,,,,,,,,
1845,75045880340,,BALL CUP BRONZE 90MM,CASQUILLO BRONCE PARA PALANCA OSCILANTE 90mm,,CASQUILLO DE BRONCE PARA PALANCA OSCILANTE 90 MM PARA BOMBA DE HORMIGON,275694005,,Putzmeister,BARRA V-ROCK,CASQUILLOS,"$1,260.96",,6,In stock,,,$9.00,$71.00,$68.16,$11.03,$206.72,6.18,,,,,,,,
2194,7504589,,PUMP SEAL KIT FOR WHITE HYDRAULIC MOTOR 470,KIT DE SELLOS PARA MOTOR AGITADOR 470,,,30321012,,Schwing,,EMPAQUES,"$1,243.20",,5,In stock,,,$9.00,$70.00,$67.20,$11.03,$206.72,6.10,,,,,,,,
1914,75045880465,,PLUNGER CYLINDER SEAL KIT 80MM,KIT SELLOS PARA CILINDRO DE CAMBIO 80MM,,KIT DE SELLOS PARA CILINDRO DE CAMBIO - 80 MM PARA BOMBA DE HORMIGON,262840008SK,,Putzmeister,BARRA V-ROCK,EMPAQUES,"$1,651.68",,3,In stock,,,$12.00,$93.00,$89.28,$14.70,$275.63,6.07,,,,,,,,
2161,75045880395,,FILTER ELEMENT ,FILTRO HIDRAULICO ,,,10002989,,Schwing,SIN ASIGNAR,FILTROS,"$1,633.92",B,5,In stock,,,$12.00,$92.00,$88.32,$14.70,$275.63,6.01,,,,,,,,
1980,75045880343,,PROXIMITY SWITCH SENSOR,SENSOR DE PROXIMIDAD,,,270321001,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$4,759.68",B,6,In stock,,,$35.00,$268.00,$257.28,$42.88,$803.91,6.00,,,,,,,,
1937,75045880524,,SWING LEVER 90MM,PALANCA OSCILANTE DE 90MM,,PALANCA OSCILANTE DE 90 MM PARA BOMBA DE HORMIGON,274877001,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$7,743.36",,1,In stock,,,$57.00,$436.00,$418.56,$69.83,"$1,309.22",5.99,,,,,,,,
2036,75045880478,,ARTICULATED BEARING GE45,BALERO ARTICULADO GE45,,,10019455,,Schwing,BARRA V-ROCK,BALEROS,$745.92,B,3,In stock,,,$5.50,$42.00,$40.32,$6.74,$126.33,5.98,,,,,,,,
2004,75045892004,,VALVE S 2318  LSP90mm,VALVULA S 2318 90mm,,,00179300,,Putzmeister,BARRA V-ROCK,VALVULAS,"$34,999.63",,1,In stock,,,$260.00,"$1,970.70","$1,891.87",$318.50,"$5,971.88",5.94,,,,,,,,
2224,75045880280,,PRESSURE SPRING DN210,RESORTE DE PRESION DN210,,,10064472,,Schwing,BARRA V-ROCK,SIN ASIGNAR,$444.00,A,15,In stock,,,$3.30,$25.00,$24.00,$4.04,$75.80,5.94,,,,,,,,
2321,75045880565,,"REDUCER PIPE HD3"" TO HD2.5""x700MM WITH HANDLES","REDUCTOR HD3"" A HD2.5"" x700mm CON ASAS",,"REDUCTOR 3"" A 2.5"" A 700 MM PARA BOMBA DE HORMIGON",RS302528D,,Tuberia,TUBERIA ACERO,TUBOS,"$3,338.88",,1,In stock,,,$25.00,$188.00,$180.48,$30.63,$574.22,5.89,,,,,,,,
1844,75045880514,,BATTERY CHARGER  ,CARGADOR PARA BATERIA ,,,459061,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$9,252.96",B,2,In stock,,,$70.00,$521.00,$500.16,$85.75,"$1,607.81",5.83,,,,,,,,
2231,75045880536,,SLEWING LEVER,RESORTERA ,,,10018071,,Schwing,BARRA V-ROCK,Sin Asignar,"$10,478.40",,2,In stock,,,$80.00,$590.00,$566.40,$98.00,"$1,837.50",5.78,,,,,,,,
1768,75045880503,,A-PAD CHARGE PUMP EATON 5423,BOMBA DE PRECARGA EATON 5423,,BOMBA DE PRECARGA PARA CAMION REVOLVEDOR,990355022,5423-CHP,Olla Revolvedora,Sistema de bombeo de concreto,BOMBAS,"$10,158.72",,2,In stock,,,$78.00,$572.00,$549.12,$95.55,"$1,791.56",5.75,,,,,,,,
1036,75045880360,,"DRIVER CONTROL CABLE 716D 2.5mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 2.5mx1/4""x4""",,CABLE DE ACELERACIÓN 2.5M 6MM/6MM PARA CAMION REVOLVEDOR,760.2500.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,$781.44,,5,In stock,,,$6.00,$44.00,$42.24,$7.35,$137.81,5.75,,,,,,,,
2322,75045880566,,"REDUCER PIPE HD4"" TO HD3""x900MM WITH HANDLES","REDUCTOR HD4"" A HD3"" x900mm CON ASAS",,"REDUCTOR 4"" A 3"" A 900 MM PARA BOMBA DE HORMIGON",RS403036D,,Tuberia,TUBERIA ACERO,TUBOS,"$3,587.52",,1,In stock,,,$28.00,$202.00,$193.92,$34.30,$643.13,5.65,,,,,,,,
2466,75045880284,,"CLAMP 2 BOLT BIG ZX125 5"" MET. NO BASE","ABRAZADERA 5"" MET. ZX125 DOBLE TORNILLO GRANDE SIN BASE",,"ABRAZADERA DE 5"" METRICA DOBLE TORNILLO PARA BOMBA DE HORMIGON",027707001,426594,Tuberia,TUBERIA ACERO,TUBOS,"$1,918.08",,12,In stock,,,$15.00,$108.00,$103.68,$18.38,$344.53,5.64,,,,,,,,
1838,75045880551,,HYDRAULIC PUMP 14cm3,BOMBA HIDRAULICA R14cm3 PARA AGITADOR,,,235383000,,Putzmeister,HIDRAULICO,BOMBAS,"$8,205.12",,1,In stock,,,$65.00,$462.00,$443.52,$79.63,"$1,492.97",5.57,,,,,,,,
2274,75045880401,,SEALING COVER,TAPA DE SELLADO CON 3 HOYOS ,,TAPA DE 3 HOYOS PARA BARRA V-ROCK PARA BOMBA HORMIGON,10018035,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$1,935.84",B,5,In stock,,,$15.50,$109.00,$104.64,$18.99,$356.02,5.51,,,,,,,,
1818,75045880380,,OUTPUT SEALING COLLAR ZF142 BIG 123x165,RETEN ZF142 GRANDE 125x180x13/49,,RETEN ZF 142 GRANDE PARA CAMION REVOLVEDOR,0734307142,,Olla Revolvedora,REDUCTOR,EMPAQUES,$745.92,B,5,In stock,,,$6.00,$42.00,$40.32,$7.35,$137.81,5.49,,,,,,,,
2186,75045880282,,KIDNEY SEAL DN180,EMPAQUE HULE RIÑON DN180,,,10029138,,Schwing,BARRA V-ROCK,Sin Asignar,"$1,243.20",A,13,In stock,,,$10.00,$70.00,$67.20,$12.25,$229.69,5.49,,,,,,,,
1928,75045880502,,OUTRIGGER HYDRAULIC MOTOR OMP160,MOTOR HIDRAULICO ESTABILIZADOR OMP160,,,434196,,Putzmeister,HIDRAULICO,MOTORES,"$7,920.96",,2,In stock,,,$65.00,$446.00,$428.16,$79.63,"$1,492.97",5.38,,,,,,,,
1836,75045880382,,HYPRO 7560C ROLLER PUMP,BOMBA DE AGUA 7560 COMPLETA 8 RODILLOS,,,018533006,,Putzmeister,BARRA V-ROCK,BOMBAS,"$8,453.76",A,5,In stock,,,$70.00,$476.00,$456.96,$85.75,"$1,607.81",5.33,,,,,,,,
1831,75045880511,,SPLINED SHAFT G64,BARRA PARA CAJA DE TRANSFERENCIA G64,,,284948001,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$11,437.44",,2,In stock,,,$95.00,$644.00,$618.24,$116.38,"$2,182.03",5.31,,,,,,,,
2005,75045880554,,VALVE S 2018N SR0479 80mm,VALVULA S 2018 80mm,,,251013008,,Putzmeister,BARRA V-ROCK,VALVULAS,"$29,999.30",,1,In stock,,,$250.00,"$1,689.15","$1,621.58",$306.25,"$5,742.19",5.29,,,,,,,,
1035,75045880357,,"DRIVER CONTROL CABLE 716D 1.5mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 1.5mx1/4""x4""",,CABLE DE ACELERACIÓN 1.5M 6MM/6MM PARA CAMION REVOLVEDOR,760.1500.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,$710.40,,5,In stock,,,$6.00,$40.00,$38.40,$7.35,$137.81,5.22,,,,,,,,
1979,75045880296,,RUBBER SEAL DISC 60mm SHAFT 140x56x8 LK120 6LD10,SELLO PARA RODAMIENTO DE MEZCLADOR 140x56x8mm / 60mm,,SELLOS PARA RODAMIENTO DE MEZCLADOR PARA BOMBA DE HORMIGON,242574006,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$355.20,A,10,In stock,,,$3.00,$20.00,$19.20,$3.68,$68.91,5.22,,,,,,,,
2313,75045880266,,U CLAMP PLASTIC DN125,ABRAZADERA PLASTICO U PARA PLUMA CON 2 TUERCAS,,ABRAZADERA EN U PARA PLUMA CON 2 TUERCAS PARA BOMBA DE HORMIGON,30301108,,Tuberia,TUBERIA ACERO,TUBOS,$177.60,,30,In stock,,,$1.50,$10.00,$9.60,$1.84,$34.45,5.22,,,,,,,,
1936,75045880552,,SWING LEVER 80MM,PALANCA OSCILANTE DE 80MM,,PALANCA OSCILANTE DE 80 MM PARA BOMBA DE HORMIGON,400493,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$6,695.52",,1,In stock,,,$57.00,$377.00,$361.92,$69.83,"$1,309.22",5.18,,,,,,,,
2253,75045880351,,PUMP CLEANOUT SEAL DN250,SELLO PARA COMPUERTA DN250,,SELLO PARA COMPUERTA DN250 PARA BOMBA DE HORMIGON,10035783,,Schwing,TOLVA,ACCESORIOS ,"$2,575.20",,6,In stock,,,$22.00,$145.00,$139.20,$26.95,$505.31,5.17,,,,,,,,
2208,75045880316,,AIR PISTON 40X10X8,PISTON NEUMATICO 40X10X8,,PISTÓN NEUMÁTICO 40X10X8 PARA BOMBA DE HORMIGON,10004951,,Schwing,SIN ASIGNAR,PISTONES,$692.64,B,10,In stock,,,$6.00,$39.00,$37.44,$7.35,$137.81,5.09,,,,,,,,
1927,75045880433,,HYDRAULIC MOTOR OMH 500,MOTOR AGITADOR OMH500,,MOTOR AGITADOR OMH500 PARA BOMBA DE HORMIGON,238130001,,Putzmeister,HIDRAULICO,MOTORES,"$8,631.36",A,4,In stock,,,$75.00,$486.00,$466.56,$91.88,"$1,722.66",5.08,,,,,,,,
